A,B,haversine_dist,distance,duration,route
AG6,SP6,0.0,0.0,0.0,
AG5,SP5,0.0,0.0,0.0,
AG8,SP8,0.0,0.0,0.0,
AG10,SP10,0.0,0.0,0.0,
AG11,SP11,0.0,0.0,0.0,
AG2,SP2,0.0,0.0,0.0,
AG7,SP7,0.0,0.0,0.0,
AG1,SP1,0.0,0.0,0.0,
AG9,SP9,0.0,0.0,0.0,
AG3,SP3,0.0,0.0,0.0,
AG4,SP4,0.0,0.0,0.0,
KG04,PY01,23.0,23.0,16.56,"[(3.176146, 101.572052), (3.1763324, 101.5721456)]"
KJ37,SP31,24.0,24.0,17.28,"[(2.996227, 101.575462), (2.996016, 101.575521)]"
KJ14,KG16,33.0,33.0,23.759999999999998,"[(3.142439, 101.69531), (3.142293265, 101.6955642)]"
SP16,PY29,39.0,39.0,28.08,"[(3.063842, 101.708062), (3.063737, 101.7084)]"
KJ31,BRT7,50.0,50.0,36.0,"[(3.054956, 101.592194), (3.0553, 101.5919)]"
SP9,MR4,56.0,56.0,40.32,"[(3.140012, 101.705984), (3.140511, 101.706029)]"
AG9,MR4,56.0,56.0,40.32,"[(3.140012, 101.705984), (3.140511, 101.706029)]"
KG20,PY23,58.0,58.0,41.76,"[(3.142403, 101.720156), (3.14289, 101.72034)]"
AG7,KJ13,69.0,69.0,49.68,"[(3.14927, 101.696377), (3.149714, 101.696815)]"
KJ13,SP7,69.0,69.0,49.68,"[(3.149714, 101.696815), (3.14927, 101.696377)]"
AG13,KG22,69.0,69.0,49.68,"[(3.12329, 101.727283), (3.123623, 101.727809)]"
SP3,MR11,80.0,80.0,57.599999999999994,"[(3.173497, 101.695367), (3.173192, 101.696022)]"
AG3,MR11,80.0,80.0,57.599999999999994,"[(3.173497, 101.695367), (3.173192, 101.696022)]"
KG18A,MR6,81.0,81.0,58.32,"[(3.146503, 101.710947), (3.146022, 101.7115)]"
AG3,PY17,81.0,81.0,58.32,"[(3.173497, 101.695367), (3.17408, 101.69581)]"
SP3,PY17,81.0,81.0,58.32,"[(3.173497, 101.695367), (3.17408, 101.69581)]"
PY17,MR11,102.0,102.0,73.44,"[(3.17408, 101.69581), (3.173192, 101.696022)]"
AG11,PY24,115.0,115.0,82.8,"[(3.128105, 101.715637), (3.12839, 101.71663)]"
SP11,PY24,115.0,115.0,82.8,"[(3.128105, 101.715637), (3.12839, 101.71663)]"
AG8,KG17,231.0,151.6,109.2,"[(3.14339, 101.70229), (3.1425, 101.70227), (3.14232, 101.70229), (3.14228, 101.70227), (3.14226, 101.7023), (3.14223, 101.70228), (3.14213, 101.70222), (3.14208, 101.70219)]"
